EP001	EP002	EP003	EP004	EP005	EP006	EP007	EP008	EP009	EP010	EP011	EP012	EP013	EP014	EP015	EP016	EP017	EP018	EP019	EP020	EP021	EP022	EP023	EP024	EP025	EP026	EP027	EP028	EP029	EP030	EP031	EP032	EP033	EP034	EP035	EP036	EP037	EP038	EP039	EP040	EP041	EP042	EP043	EP044	EP045	EP046	EP047	EP048	EP049	EP050	EP051	EP052	EP053	EP054	EP055	EP056	EP057	EP058	EP059	EP060	EP061	EP062	EP063	EP064	EP065	EP066	EP067	EP068	EP069	EP070	EP071	EP072	EP073	EP074	EP075	EP076	EP077	EP078	EP079	EP080	EP081	EP082	EP083	EP084	EP085	EP086	EP087	EP088	EP089	EP090	EP091	EP092	EP093	EP094	EP095	EP096	EP097	EP098	EP099	EP100	EP101	EP102	EP103	EP104
cg08763705	0.56163	0.6796	0.70173	0.50107	0.32564	0.56441	0.16991	0.69999	0.40632	0.61345	0.75149	0.55331	0.45899	0.28471	0.53905	0.415	0.67747	0.07985	0.74036	0.62546	0.64238	0.62615	0.60519	0.27056	0.54219	0.12741	0.5955	0.48566	0.48228	0.34102	0.73197	0.65025	0.63831	0.2864	0.36652	0.34616	0.48837	0.20893	0.28304	0.07691	0.34962	0.42855	0.1656	0.20783	0.58388	0.3219	0.23043	0.59733	0.09651	0.64381	0.08919	0.27493	0.29732	0.40754	0.54475	0.22	0.37456	0.40325	0.68025	0.64869	0.64216	0.22482	0.61826	0.52144	0.64865	0.06813	0.6926	0.55055	0.40768	0.34044	0.7063	0.70415	0.56453	0.50868	0.57074	0.33668	0.43258	0.29111	0.29007	0.65642	0.4805	0.66525	0.698	0.62892	0.43914	0.29776	0.56386	0.36793	0.76218	0.64152	0.13554	0.64617	0.58349	0.15952	0.59644	0.08657	0.56425	0.66041	0.1288	0.68687	0.43103	0.58674	0.5693	0.23294
cg13905298	0.23665	0.88394	0.86597	0.90761	0.86631	0.8529	0.87938	0.86473	0.86702	0.86117	0.60656	0.52083	0.89488	0.55726	0.87865	0.88404	0.54557	0.55918	0.86604	0.48148	0.54877	0.8797	0.89833	0.54111	0.87565	0.86898	0.86781	0.53718	0.88185	0.50809	0.87129	0.88366	0.53767	0.88616	0.89043	0.87294	0.85005	0.89516	0.88306	0.57679	0.09055	0.87618	0.88161	0.51376	0.88047	0.62645	0.51213	0.55638	0.09202	0.54078	0.88729	0.88349	0.53075	0.70357	0.08498	0.51572	0.52553	0.5207	0.0973	0.51977	0.89354	0.89557	0.35429	0.90465	0.87694	0.88104	0.51875	0.88777	0.88307	0.86498	0.50919	0.88001	0.8769	0.87491	0.51635	0.53201	0.85306	0.876	0.68744	0.86766	0.86921	0.87752	0.8697	0.87659	0.56222	0.8878	0.89279	0.87332	0.88537	0.55257	0.56327	0.56621	0.09867	0.86809	0.85771	0.58185	0.53844	0.87603	0.86805	0.50558	0.87914	0.538	0.87974	0.10122
cg24641993	0.19949	0.67181	0.63051	0.54323	0.31236	0.5876	0.23377	0.60058	0.25002	0.55916	0.79221	0.17529	0.2614	0.77989	0.40982	0.47749	0.56509	0.33435	0.6289	0.13135	0.16997	0.17731	0.57314	0.29091	0.42686	0.15666	0.12713	0.1925	0.33427	0.24332	0.54335	0.67232	0.1101	0.11958	0.20737	0.53213	0.47088	0.24755	0.72673	0.22497	0.22554	0.61639	0.16561	0.40687	0.62448	0.55007	0.4336	0.27316	0.21636	0.60238	0.26131	0.27683	0.42711	0.23948	0.15779	0.16909	0.3885	0.14132	0.52512	0.65262	0.31004	0.5148	0.41287	0.22641	0.69616	0.13146	0.58473	0.14365	0.68944	0.25412	0.40902	0.68003	0.37919	0.10995	0.24745	0.32367	0.16099	0.15052	0.42437	0.54919	0.3766	0.48046	0.15653	0.15697	0.23704	0.57189	0.68566	0.13613	0.76337	0.48104	0.13719	0.13153	0.64216	0.13395	0.72286	0.38523	0.19465	0.46285	0.13265	0.50316	0.13052	0.67855	0.30118	0.29469
cg04497820	0.1419	0.19956	0.12215	0.81194	0.1402	0.13259	0.60244	0.48306	0.41574	0.14407	0.17925	0.1771	0.5622	0.20084	0.13357	0.14198	0.59835	0.16342	0.53137	0.50253	0.56035	0.10937	0.60822	0.85668	0.84502	0.58229	0.85011	0.50496	0.82018	0.84476	0.84622	0.14414	0.42329	0.16029	0.57517	0.59796	0.52471	0.50858	0.57903	0.84282	0.57447	0.12137	0.85093	0.53415	0.6223	0.13369	0.56227	0.17096	0.87195	0.42605	0.82813	0.56556	0.88173	0.54597	0.5794	0.10455	0.11092	0.55328	0.12258	0.52821	0.54077	0.12804	0.12035	0.12514	0.10532	0.5767	0.17844	0.52895	0.57548	0.14401	0.51837	0.12592	0.59526	0.58028	0.12151	0.56757	0.61983	0.09608	0.29014	0.09746	0.60953	0.55479	0.59164	0.11478	0.1289	0.85677	0.57845	0.55057	0.48543	0.83302	0.17465	0.13666	0.5766	0.58803	0.31042	0.5581	0.86549	0.09937	0.13824	0.83	0.85622	0.51965	0.60147	0.1614
cg11128983	0.30349	0.31312	0.80209	0.27697	0.84064	0.29788	0.33018	0.80642	0.25439	0.83572	0.69221	0.24252	0.81512	0.73501	0.35271	0.81002	0.82315	0.78669	0.78864	0.78974	0.76164	0.83076	0.83815	0.3107	0.81452	0.82445	0.81966	0.63491	0.8382	0.81434	0.77416	0.26142	0.79538	0.81896	0.75442	0.30295	0.80701	0.26153	0.31254	0.83165	0.80023	0.83376	0.82974	0.82122	0.30385	0.80563	0.83017	0.81825	0.67728	0.83776	0.83074	0.82854	0.82861	0.27357	0.26785	0.26001	0.8255	0.8515	0.28539	0.81297	0.826	0.3299	0.28278	0.33891	0.81329	0.31023	0.6339	0.83692	0.80592	0.81702	0.79019	0.82787	0.78343	0.81718	0.77226	0.34249	0.83521	0.79029	0.39626	0.67763	0.77973	0.26275	0.51816	0.78856	0.65448	0.34414	0.32192	0.29192	0.28079	0.7818	0.30546	0.8335	0.29263	0.32415	0.79849	0.36464	0.8209	0.64761	0.30696	0.82191	0.82774	0.27454	0.27194	0.81298
cg07021532	0.51969	0.1303	0.88803	0.52734	0.15363	0.12184	0.53769	0.14343	0.12489	0.20099	0.17088	0.85718	0.17049	0.92714	0.91801	0.16195	0.17499	0.51155	0.89815	0.45196	0.14208	0.1309	0.14588	0.47626	0.20114	0.12332	0.49974	0.46469	0.13584	0.14787	0.13237	0.89513	0.50947	0.15511	0.51586	0.12788	0.48354	0.48269	0.15579	0.52634	0.19423	0.49402	0.1487	0.15951	0.91151	0.48983	0.4786	0.18175	0.12243	0.1712	0.15296	0.52159	0.48527	0.15551	0.16077	0.4363	0.14906	0.47263	0.41363	0.47014	0.14188	0.1901	0.15488	0.91357	0.46449	0.48557	0.15269	0.16697	0.47405	0.13621	0.44945	0.47981	0.18585	0.2086	0.15254	0.19852	0.5171	0.12384	0.12776	0.41402	0.14432	0.17255	0.46376	0.11577	0.12392	0.90244	0.12269	0.47846	0.11987	0.20231	0.22021	0.54529	0.47407	0.54609	0.49233	0.17744	0.11576	0.89887	0.16122	0.14171	0.5268	0.47317	0.50388	0.17433
cg13004587	0.44579	0.52797	0.57733	0.09279	0.25524	0.52394	0.07601	0.60276	0.08751	0.14912	0.67799	0.22178	0.08058	0.46782	0.32625	0.52926	0.09499	0.07933	0.66296	0.48	0.10051	0.0914	0.53768	0.17669	0.08235	0.06353	0.07239	0.07343	0.0872	0.53748	0.64658	0.56156	0.11933	0.09374	0.0665	0.06759	0.06756	0.07915	0.63336	0.1436	0.08829	0.24173	0.0811	0.07696	0.53662	0.06255	0.07607	0.07818	0.06717	0.08219	0.07841	0.39598	0.06789	0.24119	0.08114	0.06603	0.11555	0.06353	0.53403	0.21707	0.10894	0.33819	0.55784	0.07381	0.07696	0.06542	0.28428	0.08191	0.06447	0.11811	0.08671	0.48275	0.0829	0.0884	0.35456	0.09884	0.07304	0.05862	0.0696	0.55844	0.4162	0.30819	0.0698	0.09415	0.24838	0.1705	0.59304	0.07082	0.07572	0.21126	0.08858	0.09307	0.62039	0.09709	0.0844	0.48339	0.29645	0.46508	0.07175	0.20723	0.07681	0.3673	0.14545	0.08091
cg01248080	0.1773	0.07891	0.54549	0.12774	0.13642	0.59756	0.07845	0.5817	0.07295	0.36185	0.07526	0.57264	0.49217	0.0761	0.33219	0.49167	0.43243	0.06128	0.06199	0.51159	0.55203	0.4386	0.32803	0.11489	0.41341	0.08191	0.5401	0.09047	0.0812	0.07853	0.44364	0.40144	0.37281	0.38386	0.07092	0.09684	0.0779	0.08622	0.07458	0.07528	0.08761	0.07772	0.08266	0.43696	0.38402	0.42928	0.63478	0.06446	0.08146	0.39749	0.06882	0.33195	0.15166	0.25716	0.07293	0.09284	0.09452	0.06596	0.54728	0.22032	0.44642	0.06727	0.09904	0.08201	0.55143	0.08477	0.5233	0.42243	0.60982	0.11916	0.46089	0.57088	0.45346	0.14574	0.4129	0.08651	0.20615	0.55766	0.07783	0.54086	0.13498	0.40603	0.42172	0.53359	0.16248	0.07842	0.36535	0.06679	0.61537	0.40324	0.15144	0.06483	0.07189	0.27287	0.07291	0.32825	0.42727	0.56884	0.07543	0.46458	0.31144	0.56597	0.06498	0.17551
cg05419622	0.19514	0.68203	0.66529	0.6568	0.41321	0.79712	0.09104	0.33302	0.39568	0.33449	0.23902	0.43232	0.34952	0.45566	0.09282	0.37594	0.4162	0.4015	0.35805	0.3144	0.41785	0.66378	0.50913	0.45012	0.36346	0.70984	0.41856	0.25921	0.43616	0.06763	0.451	0.54438	0.08186	0.56411	0.659	0.64822	0.07071	0.40441	0.06483	0.06367	0.28741	0.33856	0.40355	0.40415	0.06881	0.39589	0.07101	0.09	0.75877	0.69843	0.44722	0.07057	0.41864	0.24274	0.59729	0.60595	0.07632	0.08058	0.65195	0.61985	0.35841	0.38337	0.07544	0.33928	0.41128	0.45911	0.65858	0.40637	0.42012	0.44277	0.39625	0.6028	0.55704	0.39827	0.57366	0.65644	0.46565	0.06638	0.69714	0.6501	0.47132	0.4575	0.06806	0.40902	0.07876	0.51099	0.67125	0.43036	0.0808	0.08818	0.73909	0.37274	0.45604	0.40774	0.44561	0.40573	0.48712	0.64067	0.45129	0.3749	0.07651	0.40589	0.45645	0.08604
cg25649038	0.45468	0.26583	0.6574	0.07218	0.5101	0.4773	0.61533	0.62348	0.49308	0.55255	0.2795	0.67568	0.5735	0.53064	0.41928	0.47871	0.59796	0.06905	0.62115	0.64157	0.51937	0.08346	0.49277	0.22015	0.07715	0.05803	0.60571	0.06566	0.4605	0.60616	0.50451	0.55974	0.44171	0.41671	0.06191	0.07098	0.7045	0.50071	0.59509	0.06142	0.06433	0.55103	0.50588	0.25789	0.62496	0.05732	0.65779	0.43714	0.06258	0.07809	0.0904	0.06891	0.27989	0.16677	0.46168	0.54374	0.16381	0.06632	0.61854	0.62284	0.54616	0.28821	0.54689	0.59092	0.49503	0.10892	0.62804	0.48938	0.65689	0.28168	0.2607	0.65936	0.06538	0.07004	0.49609	0.08423	0.07479	0.61976	0.462	0.59273	0.37488	0.4854	0.45523	0.26971	0.31164	0.49744	0.48951	0.62061	0.62077	0.58424	0.09206	0.40181	0.63437	0.38259	0.52933	0.45539	0.55052	0.59547	0.57542	0.51236	0.41099	0.62437	0.52413	0.10295
cg08051310	0.13511	0.26503	0.49698	0.10636	0.36629	0.47705	0.09795	0.45992	0.10535	0.30276	0.66884	0.60429	0.40784	0.5997	0.31927	0.46006	0.50266	0.12038	0.65028	0.60219	0.59057	0.4151	0.41777	0.10924	0.21869	0.12912	0.39316	0.11724	0.26823	0.37633	0.68649	0.5195	0.47911	0.11382	0.08835	0.11214	0.13328	0.41336	0.65426	0.09223	0.09345	0.28678	0.09534	0.11561	0.27563	0.39824	0.28338	0.36233	0.10522	0.13936	0.10895	0.44753	0.0978	0.14515	0.14715	0.49113	0.14366	0.09965	0.57162	0.19115	0.12092	0.12639	0.38713	0.09984	0.13021	0.51334	0.5523	0.21153	0.09249	0.44621	0.21454	0.56393	0.35041	0.15719	0.35264	0.10389	0.10719	0.60218	0.08737	0.55635	0.1211	0.53855	0.29547	0.53572	0.18464	0.32038	0.53556	0.22044	0.61408	0.47199	0.10465	0.12742	0.61735	0.18234	0.08658	0.15899	0.63733	0.57072	0.48978	0.58449	0.24257	0.50268	0.41782	0.10876
cg12347429	0.20926	0.60626	0.07453	0.18999	0.5905	0.41081	0.26675	0.67037	0.49592	0.07618	0.71188	0.58815	0.53702	0.39041	0.23699	0.53119	0.5964	0.27366	0.13441	0.63985	0.6032	0.63866	0.47684	0.62841	0.52444	0.11267	0.57009	0.15065	0.0768	0.62067	0.53726	0.46761	0.53891	0.55632	0.40399	0.40812	0.14701	0.64074	0.66609	0.19055	0.2469	0.29344	0.45402	0.40224	0.09171	0.53811	0.13463	0.07656	0.09659	0.32565	0.16919	0.1531	0.58525	0.36312	0.55115	0.65704	0.29425	0.16528	0.61321	0.62863	0.54242	0.07608	0.52847	0.53022	0.08413	0.68911	0.60294	0.45307	0.16339	0.51264	0.54316	0.64071	0.07759	0.47126	0.48751	0.35702	0.37325	0.63303	0.08684	0.5933	0.14348	0.59152	0.41403	0.43588	0.28065	0.08364	0.27865	0.64634	0.4665	0.56529	0.08354	0.21446	0.41743	0.30196	0.08079	0.11684	0.49049	0.36524	0.41621	0.50299	0.3044	0.6299	0.08052	0.12192
cg01272707	0.36594	0.70953	0.54256	0.2005	0.51918	0.3475	0.62688	0.67416	0.6103	0.45045	0.76361	0.65016	0.52251	0.70836	0.30632	0.42239	0.53795	0.0992	0.72001	0.66637	0.57418	0.62915	0.4725	0.29786	0.49062	0.75323	0.60981	0.47763	0.31255	0.41515	0.71615	0.52655	0.16886	0.5222	0.08882	0.13673	0.50891	0.5767	0.63378	0.20633	0.54631	0.4413	0.47145	0.44015	0.6612	0.3753	0.69561	0.54779	0.09987	0.22288	0.0985	0.41258	0.12675	0.3303	0.57055	0.67883	0.1495	0.61171	0.57877	0.09701	0.45217	0.53569	0.50496	0.6228	0.61785	0.09292	0.62697	0.362	0.20458	0.11343	0.31823	0.58711	0.09732	0.42646	0.4141	0.48036	0.35248	0.20215	0.33278	0.49731	0.24987	0.60007	0.60631	0.39343	0.19989	0.5006	0.63598	0.61716	0.21012	0.52187	0.1305	0.51642	0.61148	0.17877	0.64109	0.33139	0.59515	0.65889	0.11828	0.54395	0.31738	0.10168	0.52863	0.52936
cg23892028	0.26646	0.61243	0.2585	0.62051	0.34384	0.38344	0.91419	0.48116	0.4331	0.68828	0.15639	0.27508	0.55044	0.2001	0.16238	0.20333	0.3746	0.58243	0.43075	0.28418	0.55867	0.45076	0.17765	0.62122	0.46706	0.30618	0.19748	0.36546	0.24534	0.88002	0.51813	0.38233	0.28261	0.28448	0.30199	0.22921	0.23046	0.30366	0.12962	0.20485	0.2064	0.2608	0.22639	0.43312	0.18321	0.38777	0.19816	0.44474	0.31997	0.68033	0.54861	0.64613	0.59452	0.69454	0.89557	0.39747	0.90426	0.29352	0.48352	0.58332	0.6574	0.25073	0.21681	0.23447	0.23674	0.55765	0.40776	0.55664	0.5997	0.71711	0.57766	0.40693	0.37873	0.38785	0.5321	0.20414	0.15271	0.37691	0.2689	0.24964	0.21962	0.89899	0.55545	0.57721	0.55163	0.56693	0.19193	0.26397	0.62447	0.19516	0.22611	0.59187	0.57228	0.20217	0.65478	0.30537	0.18062	0.27231	0.59756	0.26232	0.57226	0.24907	0.29102	0.12365
cg18488157	0.56	0.59951	0.49574	0.31324	0.10161	0.64806	0.58315	0.52704	0.45452	0.55743	0.59527	0.47625	0.18392	0.51155	0.31211	0.21389	0.50005	0.43976	0.61332	0.57748	0.5036	0.2226	0.51839	0.08484	0.60202	0.70237	0.13297	0.11279	0.63478	0.62682	0.15685	0.34721	0.57574	0.36325	0.11619	0.25404	0.68258	0.24508	0.65352	0.27929	0.21769	0.61156	0.12914	0.45185	0.6	0.18971	0.12302	0.12152	0.09661	0.4947	0.38497	0.54461	0.71251	0.15894	0.51346	0.34471	0.57553	0.42668	0.54054	0.61289	0.1872	0.56163	0.56912	0.11016	0.14158	0.66988	0.17756	0.11605	0.53366	0.5394	0.18842	0.11093	0.12262	0.12149	0.23158	0.17579	0.41214	0.12579	0.30955	0.33158	0.43855	0.10873	0.08789	0.27239	0.4056	0.32961	0.613	0.48961	0.56909	0.1236	0.21667	0.55214	0.63781	0.16256	0.37417	0.45083	0.33859	0.2231	0.2454	0.49347	0.14592	0.11336	0.5529	0.36814
cg05839762	0.15157	0.37069	0.62208	0.45152	0.61129	0.57552	0.12627	0.66121	0.1433	0.55467	0.65431	0.64609	0.52579	0.44562	0.58469	0.5313	0.28274	0.15022	0.69655	0.66194	0.61352	0.69019	0.5627	0.58407	0.13274	0.15569	0.62074	0.17967	0.13376	0.33769	0.5305	0.26673	0.1685	0.14727	0.14189	0.1433	0.12582	0.12443	0.69337	0.14192	0.15074	0.5058	0.11911	0.13288	0.69067	0.23965	0.12428	0.21354	0.11915	0.65188	0.29223	0.21788	0.27394	0.31661	0.21376	0.15484	0.11661	0.13666	0.60583	0.33882	0.48302	0.70791	0.547	0.17923	0.32909	0.13476	0.63132	0.27889	0.17987	0.16263	0.26626	0.16682	0.09571	0.35774	0.48161	0.51726	0.34895	0.54132	0.10903	0.51118	0.21269	0.21352	0.15714	0.66916	0.17087	0.54772	0.1639	0.31086	0.36914	0.65995	0.22002	0.11499	0.57621	0.6329	0.58733	0.39476	0.10024	0.67897	0.11285	0.50657	0.50676	0.60474	0.67614	0.3953
cg07792871	0.74664	0.62016	0.15765	0.81595	0.16961	0.56082	0.80248	0.49208	0.19818	0.5036	0.64285	0.50588	0.81939	0.82354	0.4679	0.76883	0.79022	0.78797	0.54765	0.17632	0.50783	0.18061	0.81315	0.81094	0.51009	0.85961	0.49513	0.5185	0.52509	0.78912	0.51784	0.16241	0.51583	0.79526	0.54153	0.5133	0.79504	0.48427	0.55057	0.52948	0.53008	0.78057	0.54224	0.79834	0.55462	0.50992	0.53416	0.17962	0.5167	0.58754	0.56201	0.55036	0.82161	0.67343	0.79419	0.53264	0.79606	0.81268	0.5174	0.50106	0.77901	0.20093	0.75713	0.56916	0.79169	0.80707	0.72856	0.20952	0.54286	0.15822	0.83497	0.20275	0.78905	0.7884	0.80057	0.54959	0.23627	0.72603	0.73138	0.75407	0.18347	0.5366	0.80098	0.23065	0.53342	0.55272	0.82926	0.78524	0.57589	0.14621	0.56449	0.79928	0.51789	0.18972	0.78708	0.51289	0.78797	0.17014	0.80852	0.79855	0.76918	0.79324	0.83431	0.53922
cg06414921	0.19223	0.68286	0.6868	0.0919	0.63042	0.41539	0.53553	0.06916	0.54199	0.60381	0.64699	0.08303	0.44951	0.50812	0.29634	0.66225	0.09958	0.07852	0.7445	0.06828	0.51113	0.49262	0.49559	0.40575	0.12662	0.61243	0.09742	0.05519	0.2241	0.13102	0.7373	0.53452	0.55704	0.08985	0.70076	0.39289	0.70165	0.49905	0.07944	0.09548	0.54233	0.67835	0.49863	0.44389	0.26433	0.07062	0.52163	0.115	0.05946	0.53007	0.36864	0.40939	0.22354	0.29694	0.07018	0.67834	0.13217	0.17063	0.53068	0.17753	0.43983	0.31282	0.61026	0.48395	0.48597	0.11767	0.14118	0.52498	0.07119	0.25085	0.43684	0.53312	0.08528	0.46898	0.3606	0.37784	0.36536	0.70397	0.32534	0.55579	0.44527	0.08253	0.48795	0.29947	0.25608	0.54576	0.49785	0.51217	0.72524	0.40112	0.08606	0.08234	0.65191	0.07957	0.16116	0.07919	0.5624	0.07987	0.61372	0.29335	0.40793	0.52177	0.09291	0.36077
cg15745385	0.22704	0.63648	0.53205	0.09912	0.56031	0.07493	0.14296	0.63164	0.06412	0.54034	0.68686	0.07552	0.12467	0.0735	0.06459	0.42953	0.43501	0.09508	0.17585	0.07062	0.5974	0.48655	0.48034	0.07129	0.3857	0.07235	0.0734	0.56914	0.32864	0.51807	0.07435	0.2236	0.53032	0.53164	0.62491	0.43311	0.07738	0.48712	0.59047	0.07975	0.35003	0.4807	0.41819	0.37698	0.11349	0.41836	0.05578	0.5229	0.49701	0.52701	0.44683	0.08425	0.08071	0.50488	0.54902	0.26082	0.09867	0.22189	0.62558	0.0739	0.55192	0.43139	0.40908	0.07408	0.11043	0.5488	0.54548	0.46619	0.15256	0.5872	0.58525	0.38239	0.07912	0.07119	0.46021	0.42256	0.38142	0.49184	0.17461	0.59635	0.09142	0.46226	0.61581	0.0909	0.10594	0.12056	0.30846	0.22014	0.07247	0.56398	0.0794	0.60072	0.08832	0.09805	0.64178	0.08408	0.08075	0.55066	0.5639	0.59118	0.42748	0.61002	0.10793	0.43998
cg25387565	0.3438	0.66125	0.53931	0.1833	0.57062	0.10936	0.24714	0.59769	0.09391	0.57639	0.71126	0.08171	0.24511	0.08232	0.08043	0.47598	0.54148	0.12626	0.38272	0.10406	0.57451	0.54261	0.54719	0.1199	0.49726	0.09083	0.11863	0.58324	0.48641	0.53455	0.12359	0.34967	0.58438	0.58823	0.6097	0.46802	0.12336	0.53862	0.62018	0.12072	0.48514	0.56707	0.49935	0.4721	0.26071	0.50558	0.1049	0.56116	0.53296	0.56347	0.51203	0.09601	0.09589	0.52952	0.52819	0.39368	0.17343	0.38145	0.56608	0.09983	0.52861	0.57165	0.4546	0.09742	0.20364	0.53613	0.52901	0.52781	0.3075	0.57383	0.568	0.47346	0.09895	0.09383	0.51721	0.47775	0.43176	0.49591	0.22037	0.54527	0.17065	0.49939	0.57259	0.17681	0.12758	0.25927	0.45167	0.30846	0.08468	0.56806	0.10132	0.60173	0.13858	0.17079	0.61068	0.13303	0.096	0.53511	0.55652	0.5546	0.49788	0.58105	0.19554	0.48442
cg19036153	0.21446	0.62999	0.56494	0.0907	0.5866	0.06647	0.14908	0.61478	0.06709	0.505	0.63765	0.06671	0.11217	0.06654	0.06619	0.40773	0.46249	0.09045	0.21765	0.078	0.62294	0.51186	0.51589	0.07426	0.39735	0.0725	0.07338	0.58668	0.28934	0.49814	0.07638	0.28701	0.5699	0.58766	0.62131	0.42513	0.06468	0.50368	0.61496	0.06346	0.34833	0.49997	0.42328	0.37211	0.12625	0.39513	0.056	0.50719	0.50377	0.49014	0.43295	0.07546	0.08315	0.48458	0.52383	0.28157	0.10299	0.23872	0.58548	0.06941	0.49815	0.45709	0.38516	0.07259	0.12081	0.5079	0.52605	0.46877	0.17803	0.55167	0.56518	0.37972	0.07581	0.06985	0.47028	0.40826	0.3304	0.48686	0.18291	0.57706	0.0864	0.44712	0.5713	0.09368	0.11152	0.13553	0.27559	0.20781	0.08089	0.54482	0.06564	0.57909	0.08254	0.10381	0.60825	0.08118	0.07062	0.5365	0.50653	0.58086	0.42921	0.60729	0.12516	0.3677
cg00890041	0.19179	0.64432	0.54574	0.08125	0.60526	0.05804	0.11046	0.62255	0.0514	0.4865	0.65809	0.06234	0.0912	0.04975	0.05367	0.37454	0.45281	0.06242	0.18065	0.05941	0.61924	0.47511	0.46919	0.05723	0.391	0.0549	0.05372	0.57977	0.27359	0.49858	0.06139	0.23244	0.52651	0.54092	0.62999	0.41603	0.0515	0.53648	0.61208	0.0567	0.33968	0.48281	0.41854	0.34474	0.08264	0.3951	0.04563	0.5118	0.49988	0.50463	0.4349	0.05804	0.06	0.49792	0.52808	0.25605	0.0768	0.21413	0.60435	0.05348	0.53481	0.43899	0.39046	0.05993	0.0983	0.50235	0.51324	0.46084	0.13837	0.55196	0.57782	0.34879	0.05062	0.06131	0.47317	0.39783	0.32351	0.50672	0.16192	0.57419	0.07326	0.44756	0.61145	0.07064	0.06248	0.09191	0.26296	0.20025	0.05689	0.55593	0.05946	0.56814	0.06657	0.0929	0.62384	0.06573	0.05866	0.52558	0.51588	0.58588	0.419	0.5984	0.11207	0.34364
cg11401682	0.17927	0.63421	0.52686	0.10717	0.55545	0.08177	0.15416	0.62159	0.06161	0.47133	0.70323	0.06033	0.1122	0.08109	0.06141	0.37974	0.45271	0.06751	0.20277	0.07115	0.58741	0.47138	0.49048	0.06897	0.3655	0.07806	0.07162	0.55714	0.31908	0.46025	0.07255	0.21621	0.51363	0.55075	0.61077	0.39213	0.08851	0.48844	0.58717	0.035	0.35746	0.46094	0.41928	0.36135	0.128	0.38665	0.05872	0.50411	0.48238	0.48918	0.41787	0.07101	0.07115	0.49879	0.52619	0.26336	0.09592	0.22544	0.58373	0.06084	0.46944	0.43763	0.35682	0.06937	0.09655	0.4901	0.50599	0.43393	0.16734	0.53572	0.5524	0.38552	0.06633	0.06798	0.4385	0.37919	0.31058	0.43327	0.172	0.5515	0.09042	0.44398	0.58212	0.07296	0.09265	0.12987	0.25162	0.17331	0.0691	0.54016	0.06656	0.54038	0.08432	0.08119	0.51042	0.07425	0.07731	0.47567	0.48815	0.56213	0.40833	0.58962	0.1043	0.37362
cg17012202	0.25929	0.65807	0.55268	0.12069	0.59328	0.10952	0.16376	0.64264	0.09459	0.53172	0.70388	0.08741	0.16869	0.09054	0.08549	0.41638	0.5014	0.10892	0.28468	0.10832	0.61889	0.52133	0.5296	0.10828	0.4257	0.12251	0.12364	0.60201	0.37847	0.50204	0.11907	0.27621	0.57922	0.56637	0.62851	0.41549	0.11371	0.53802	0.64622	0.1082	0.42769	0.52804	0.44803	0.41301	0.1585	0.44306	0.08923	0.52503	0.51793	0.50769	0.45565	0.09714	0.11628	0.4959	0.53028	0.31107	0.12855	0.27881	0.59005	0.10066	0.50852	0.48267	0.38966	0.10795	0.12995	0.50858	0.52542	0.44165	0.20706	0.5631	0.58183	0.4239	0.10562	0.09919	0.47626	0.41473	0.3691	0.45923	0.21466	0.55812	0.14122	0.44642	0.59711	0.12668	0.13691	0.17998	0.35499	0.20173	0.10529	0.57051	0.13229	0.58893	0.11231	0.14609	0.63717	0.11641	0.11227	0.54914	0.50674	0.57509	0.44347	0.60948	0.14634	0.39113
cg03607220	0.77027	0.34075	0.47373	0.8008	0.22604	0.67952	0.58119	0.26555	0.27901	0.43828	0.43104	0.27585	0.61153	0.70969	0.40877	0.28284	0.71716	0.26577	0.47046	0.80768	0.24255	0.85538	0.39493	0.6185	0.38434	0.59093	0.70457	0.67332	0.8056	0.77356	0.86912	0.8361	0.30887	0.55655	0.54696	0.67582	0.20862	0.81615	0.42519	0.38601	0.31795	0.60941	0.44069	0.24001	0.83333	0.68215	0.20625	0.27673	0.21099	0.658	0.23886	0.26386	0.46174	0.66702	0.41834	0.7027	0.27394	0.8208	0.82103	0.74872	0.39717	0.87311	0.24957	0.41051	0.65506	0.62423	0.84236	0.589	0.51037	0.77114	0.55819	0.23694	0.32437	0.48652	0.31442	0.28506	0.55213	0.67635	0.22383	0.47051	0.51417	0.42776	0.83125	0.24873	0.61084	0.35107	0.86149	0.17905	0.48745	0.30808	0.34394	0.56521	0.67158	0.82378	0.19518	0.65059	0.58724	0.19982	0.55988	0.24845	0.36944	0.81841	0.38641	0.28005
